hospital_name,address,city,state,zip_code,county_name,phone_number,hospital_type,hospital_ownership,emergency_services,lat,lng,geocode_flag,geocode_accuracy,url,PRVDR_NUM,RPT_REC_NUM,LINE_NUM,CLMN_NUM,total,unit_100_value,unit_name
FORBES HOSPITAL,2570 HAYMAKER ROAD,MONROEVILLE,PA,15146,ALLEGHENY,(412) 858-2000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,40.4284250,-79.7512540,0,,https://data.medicare.gov/resource/xubh-q36u/row-f279_i43n~yjz2,390267,659882,01101,00200,4,03401,03401NEONATAL INTENSIVE CARE
ST JOSEPH'S UNIVERSITY MEDICAL CENTER,703 MAIN ST,PATERSON,NJ,7503,PASSAIC,(973) 754-2010,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,40.9024560,-74.1667510,0,,https://data.medicare.gov/resource/xubh-q36u/row-rfn5_s79q-iivg,310019,655133,01201,00200,50,03501,02060NEONATAL INTENSIVE CARE UNIT
NYU LANGONE HOSPITALS,550 FIRST AVENUE,NEW YORK,NY,10016,NEW YORK,(212) 263-7300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,40.7422600,-73.9746610,0,,https://data.medicare.gov/resource/xubh-q36u/row-azm2~9p78_ewq7,330214,655134,00801,00200,16,03101,03101PEDIATRIC ICU
HALIFAX HEALTH MEDICAL CENTER,303 N CLYDE MORRIS BLVD,DAYTONA BEACH,FL,32114,VOLUSIA,(386) 254-4000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,29.2005500,-81.0553400,0,,https://data.medicare.gov/resource/xubh-q36u/row-jefw_v3dx.hcti,100017,644230,00901,00200,49,03201,03201INTENSIVE SURGICAL CARE
HALIFAX HEALTH MEDICAL CENTER,303 N CLYDE MORRIS BLVD,DAYTONA BEACH,FL,32114,VOLUSIA,(386) 254-4000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,29.2005500,-81.0553400,0,,https://data.medicare.gov/resource/xubh-q36u/row-jefw_v3dx.hcti,100017,644230,00902,00200,29,03202,03202INTENSIVE MEDICAL CARE
HALIFAX HEALTH MEDICAL CENTER,303 N CLYDE MORRIS BLVD,DAYTONA BEACH,FL,32114,VOLUSIA,(386) 254-4000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,29.2005500,-81.0553400,0,,https://data.medicare.gov/resource/xubh-q36u/row-jefw_v3dx.hcti,100017,644230,00903,00200,5,03203,03203PEDIATRIC ICU
DOCTORS MEDICAL CENTER,1441 FLORIDA AVENUE,MODESTO,CA,95350,STANISLAUS,(209) 578-1211,Acute Care Hospitals,Proprietary,TRUE,37.6656660,-120.9962500,0,,https://data.medicare.gov/resource/xubh-q36u/row-h4cz~c84j.66ru,50464,655748,01201,00200,8,03501,02400NEURO CRITICAL CARE
NORTH SHORE MEDICAL CENTER,1100 NW 95TH ST,MIAMI,FL,33150,MIAMI-DADE,(305) 835-6000,Acute Care Hospitals,Proprietary,TRUE,25.8616580,-80.2146560,0,,https://data.medicare.gov/resource/xubh-q36u/row-9ga8_euvm.dbmz,100029,655759,01203,00200,12,03503,02400OTHER ICU
THE HOSPITALS OF PROVIDENCE MEMORIAL CAMPUS,2001 N OREGON ST,EL PASO,TX,79902,EL PASO,(915) 577-6011,Acute Care Hospitals,Proprietary,TRUE,31.7711610,-106.4993450,0,,https://data.medicare.gov/resource/xubh-q36u/row-mwx3.k55z_dt4b,450002,655841,01202,00200,16,03502,02080PEDIATRIC ICU
DUKE UNIVERSITY HOSPITAL,PO BOX 3814 DUMC  ERWIN RD,DURHAM,NC,27710,DURHAM,(919) 684-8111,Acute Care Hospitals,Proprietary,TRUE,36.0075052,-78.9384420,1,ROOFTOP,https://data.medicare.gov/resource/xubh-q36u/row-8gf9.uu5h~mgkd,340030,661761,01101,00200,24,03401,03401N-42 SURGICAL INTENSIVE CARE
DUKE UNIVERSITY HOSPITAL,PO BOX 3814 DUMC  ERWIN RD,DURHAM,NC,27710,DURHAM,(919) 684-8111,Acute Care Hospitals,Proprietary,TRUE,36.0075052,-78.9384420,1,ROOFTOP,https://data.medicare.gov/resource/xubh-q36u/row-8gf9.uu5h~mgkd,340030,661761,01102,00200,74,03402,03402INTENSIVE CARE NURSERY
DUKE UNIVERSITY HOSPITAL,PO BOX 3814 DUMC  ERWIN RD,DURHAM,NC,27710,DURHAM,(919) 684-8111,Acute Care Hospitals,Proprietary,TRUE,36.0075052,-78.9384420,1,ROOFTOP,https://data.medicare.gov/resource/xubh-q36u/row-8gf9.uu5h~mgkd,340030,661761,01103,00200,45,03403,03403N-55 PEDIATRIC INTENSIVE CARE UNIT
DUKE UNIVERSITY HOSPITAL,PO BOX 3814 DUMC  ERWIN RD,DURHAM,NC,27710,DURHAM,(919) 684-8111,Acute Care Hospitals,Proprietary,TRUE,36.0075052,-78.9384420,1,ROOFTOP,https://data.medicare.gov/resource/xubh-q36u/row-8gf9.uu5h~mgkd,340030,661761,01104,00200,24,03404,03404N-82 MEDICAL INTENSIVE CARE UNIT
DUKE UNIVERSITY HOSPITAL,PO BOX 3814 DUMC  ERWIN RD,DURHAM,NC,27710,DURHAM,(919) 684-8111,Acute Care Hospitals,Proprietary,TRUE,36.0075052,-78.9384420,1,ROOFTOP,https://data.medicare.gov/resource/xubh-q36u/row-8gf9.uu5h~mgkd,340030,661761,01105,00200,16,03405,03405BONE MARROW TRANSPLANT UNIT
DUKE UNIVERSITY HOSPITAL,PO BOX 3814 DUMC  ERWIN RD,DURHAM,NC,27710,DURHAM,(919) 684-8111,Acute Care Hospitals,Proprietary,TRUE,36.0075052,-78.9384420,1,ROOFTOP,https://data.medicare.gov/resource/xubh-q36u/row-8gf9.uu5h~mgkd,340030,661761,01106,00200,16,03406,03406PEDIATRIC BMT UNIT
NORTH CAROLINA BAPTIST HOSPITAL,MEDICAL CENTER BOULEVARD,WINSTON-SALEM,NC,27157,FORSYTH,(336) 716-2011,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,36.0896734,-80.2713468,1,GEOMETRIC_CENTER,https://data.medicare.gov/resource/xubh-q36u/row-r4e3-jftf~8jdf,340047,661763,00801,00200,17,03101,03101BONE MARROW NURSING UNIT
NORTH CAROLINA BAPTIST HOSPITAL,MEDICAL CENTER BOULEVARD,WINSTON-SALEM,NC,27157,FORSYTH,(336) 716-2011,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,36.0896734,-80.2713468,1,GEOMETRIC_CENTER,https://data.medicare.gov/resource/xubh-q36u/row-r4e3-jftf~8jdf,340047,661763,00802,00200,44,03102,03102INTENSIVE CARE UNIT-NURSERY
NORTH CAROLINA BAPTIST HOSPITAL,MEDICAL CENTER BOULEVARD,WINSTON-SALEM,NC,27157,FORSYTH,(336) 716-2011,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,36.0896734,-80.2713468,1,GEOMETRIC_CENTER,https://data.medicare.gov/resource/xubh-q36u/row-r4e3-jftf~8jdf,340047,661763,00803,00200,23,03103,03103INTERMEDIATE CARE
CAROLINAS MEDICAL CENTER/BEHAV HEALTH,1000 BLYTHE BLVD,CHARLOTTE,NC,28203,MECKLENBURG,(704) 355-2000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,35.2049830,-80.8398450,0,,https://data.medicare.gov/resource/xubh-q36u/row-tjng_gucu-k2vq,340113,661769,00801,00200,56,03101,03101NEONATAL INTENSIVE CARE UNIT
CAROLINAS MEDICAL CENTER/BEHAV HEALTH,1000 BLYTHE BLVD,CHARLOTTE,NC,28203,MECKLENBURG,(704) 355-2000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,35.2049830,-80.8398450,0,,https://data.medicare.gov/resource/xubh-q36u/row-tjng_gucu-k2vq,340113,661769,00901,00200,14,03201,03201CVRU
CAROLINAS MEDICAL CENTER/BEHAV HEALTH,1000 BLYTHE BLVD,CHARLOTTE,NC,28203,MECKLENBURG,(704) 355-2000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,35.2049830,-80.8398450,0,,https://data.medicare.gov/resource/xubh-q36u/row-tjng_gucu-k2vq,340113,661769,01101,00200,73,03401,03401NEURO INTENSIVE CARE UNIT
CAROLINAS MEDICAL CENTER/BEHAV HEALTH,1000 BLYTHE BLVD,CHARLOTTE,NC,28203,MECKLENBURG,(704) 355-2000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,35.2049830,-80.8398450,0,,https://data.medicare.gov/resource/xubh-q36u/row-tjng_gucu-k2vq,340113,661769,01102,00200,29,03402,03402TRAUMA INTENSIVE CARE UNIT
CAROLINAS MEDICAL CENTER/BEHAV HEALTH,1000 BLYTHE BLVD,CHARLOTTE,NC,28203,MECKLENBURG,(704) 355-2000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,35.2049830,-80.8398450,0,,https://data.medicare.gov/resource/xubh-q36u/row-tjng_gucu-k2vq,340113,661769,01103,00200,19,03403,03403PROGRESSIVE INTENSIVE CARE UNIT
CAROLINAS MEDICAL CENTER/BEHAV HEALTH,1000 BLYTHE BLVD,CHARLOTTE,NC,28203,MECKLENBURG,(704) 355-2000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,35.2049830,-80.8398450,0,,https://data.medicare.gov/resource/xubh-q36u/row-tjng_gucu-k2vq,340113,661769,01104,00200,20,03404,03404PEDIATRIC INTENSIVE CARE UNIT
CAROLINAS MEDICAL CENTER/BEHAV HEALTH,1000 BLYTHE BLVD,CHARLOTTE,NC,28203,MECKLENBURG,(704) 355-2000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,35.2049830,-80.8398450,0,,https://data.medicare.gov/resource/xubh-q36u/row-tjng_gucu-k2vq,340113,661769,01105,00200,6,03405,03405EPILEPSY INTENSIVE CARE UNIT
CAROLINAS MEDICAL CENTER/BEHAV HEALTH,1000 BLYTHE BLVD,CHARLOTTE,NC,28203,MECKLENBURG,(704) 355-2000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,35.2049830,-80.8398450,0,,https://data.medicare.gov/resource/xubh-q36u/row-tjng_gucu-k2vq,340113,661769,01106,00200,25,03406,03406PEDS PROGRESSIVE INTENSIVE CARE UNI
CAROLINAS MEDICAL CENTER/BEHAV HEALTH,1000 BLYTHE BLVD,CHARLOTTE,NC,28203,MECKLENBURG,(704) 355-2000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,35.2049830,-80.8398450,0,,https://data.medicare.gov/resource/xubh-q36u/row-tjng_gucu-k2vq,340113,661769,01107,00200,33,03407,03407NEONATAL PROGRESSIVE ICU
LUTHERAN HOSPITAL OF INDIANA,7950 W JEFFERSON BLVD,FORT WAYNE,IN,46804,ALLEN,(260) 435-7001,Acute Care Hospitals,Proprietary,TRUE,41.0373740,-85.2458850,0,,https://data.medicare.gov/resource/xubh-q36u/row-22sz~6zvg.fbpc,150017,661886,00801,00200,10,03101,02080PEDIATRIC INTENSIVE CARE UNIT
LUTHERAN HOSPITAL OF INDIANA,7950 W JEFFERSON BLVD,FORT WAYNE,IN,46804,ALLEN,(260) 435-7001,Acute Care Hospitals,Proprietary,TRUE,41.0373740,-85.2458850,0,,https://data.medicare.gov/resource/xubh-q36u/row-22sz~6zvg.fbpc,150017,661886,00802,00200,24,03102,02060NEONATAL INTENSIVE CARE UNIT
LUTHERAN HOSPITAL OF INDIANA,7950 W JEFFERSON BLVD,FORT WAYNE,IN,46804,ALLEN,(260) 435-7001,Acute Care Hospitals,Proprietary,TRUE,41.0373740,-85.2458850,0,,https://data.medicare.gov/resource/xubh-q36u/row-22sz~6zvg.fbpc,150017,661886,00803,00200,84,03103,03101CARDIO INTENSIVE CARE UNIT
ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,1925 PACIFIC AVENUE,ATLANTIC CITY,NJ,8401,ATLANTIC,(609) 441-8020,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,39.3577910,-74.4339420,0,,https://data.medicare.gov/resource/xubh-q36u/row-bp79~7q24_hctk,310064,661933,00801,00200,22,03101,03101NEONATAL INTENSIVE CARE UNIT
UNIVERSITY OF ILLINOIS HOSPITAL,1740 WEST TAYLOR ST SUITE 1400,CHICAGO,IL,60612,COOK,(312) 996-3900,Acute Care Hospitals,Government - State,TRUE,41.8692240,-87.6705290,0,,https://data.medicare.gov/resource/xubh-q36u/row-npx2_ggxf-iku6,140150,662044,00801,00200,18,03101,02080PEDS ICU
UNIVERSITY OF ILLINOIS HOSPITAL,1740 WEST TAYLOR ST SUITE 1400,CHICAGO,IL,60612,COOK,(312) 996-3900,Acute Care Hospitals,Government - State,TRUE,41.8692240,-87.6705290,0,,https://data.medicare.gov/resource/xubh-q36u/row-npx2_ggxf-iku6,140150,662044,00802,00200,52,03102,02060NEONATAL ICU
BAYLOR SCOTT & WHITE MEDICAL CENTER- COLLEGE STATI,700 SCOTT & WHITE DRIVE,COLLEGE STATION,TX,77845,BRAZOS,(979) 691-3701,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,30.1538350,-96.3882090,0,,https://data.medicare.gov/resource/xubh-q36u/row-cqfb_i8ft_nqt3,670088,656214,00801,00200,16,03101,03101NEONATAL INTENSIVE CARE UNIT
LAC+USC MEDICAL CENTER,"1200 N STATE ST, ROOM C2K100",LOS ANGELES,CA,90033,LOS ANGELES,(323) 226-2800,Acute Care Hospitals,Government - Local,TRUE,34.0598720,-118.2103080,0,,https://data.medicare.gov/resource/xubh-q36u/row-zb2x~3wn3~q6ug,50373,662473,00801,00200,40,03101,03101NEONATAL INTENSIVE CARE UNIT
