@_address,provider_id,geocode_flag,geocode_accuracy,geocoded_column,lat,lng,hospital_name,address,city,state,zip_code,county_name,phone_number,hospital_type,hospital_ownership,emergency_services,hospital_overall_rating,hospital_overall_rating_footnote,mortality_national_comparison,mortality_national_comparison_footnote,safety_of_care_national_comparison,safety_of_care_national_comparison_footnote,readmission_national_comparison,readmission_national_comparison_footnote,patient_experience_national_comparison,patient_experience_national_comparison_footnote,effectiveness_of_care_national_comparison,effectiveness_of_care_national_comparison_footnote,timeliness_of_care_national_comparison,timeliness_of_care_national_comparison_footnote,efficient_use_of_medical_imaging_national_comparison,efficient_use_of_medical_imaging_national_comparison_footnote
https://data.medicare.gov/resource/xubh-q36u/row-9nt3~77et_z9mg,251334,0,,POINT (-89.182304 33.318465),33.318465,-89.182304,CHOCTAW REGIONAL MEDICAL CENTER,8613 MS HWY 12,ACKERMAN,MS,39735,CHOCTAW,(662) 285-4400,Critical Access Hospitals,Government - Local,true,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,16,Not Available,5,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-d9w4-w6pt_bban,263301,1,ROOFTOP,,38.6374922,-90.2652998,ST LOUIS CHILDRENS HOSPITAL,ONE CHILDRENS PLACE,SAINT LOUIS,MO,63110,ST. LOUIS CITY,(314) 454-6000,Childrens,Voluntary non-profit - Other,true,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-6u4h-s727-3k6z,304000,0,,POINT (-71.543572 43.193245),43.193245,-71.543572,NEW HAMPSHIRE HOSP-PSYCH UNIT,36 CLINTON STREET,CONCORD,NH,03301,MERRIMACK,(603) 271-5300,Psychiatric,Government - State,true,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-ai6a~bn84~9pvi,321304,0,,POINT (-103.19326 36.455169),36.455169,-103.19326,UNION COUNTY GENERAL HOSPITAL,300 WILSON STREET,CLAYTON,NM,88415,UNION,(575) 374-7001,Critical Access Hospitals,Voluntary non-profit - Other,true,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,16,Not Available,16,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-cv45-zcn2-4te2,340132,1,APPROXIMATE,,36.3338756,-78.39559860000001,MARIA PARHAM MEDICAL CENTER,PO BOX 59,HENDERSON,NC,27536,VANCE,(252) 431-3708,Acute Care Hospitals,Proprietary,true,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-k27i~9abs_tp2y,340156,1,ROOFTOP,,35.4841903,-83.32320539999999,CHEROKEE INDIAN HOSPITAL AUTHORITY,CALLER BOX C268,CHEROKEE,NC,28719,SWAIN,(704) 497-9163,Acute Care Hospitals,Government - Federal,true,Not Available,16,Not Available,5,Not Available,5,Not Available,5,Not Available,16,Not Available,5,Not Available,5,Not Available,16
https://data.medicare.gov/resource/xubh-q36u/row-zjv8.p46n-e733,341320,1,RANGE_INTERPOLATED,,36.5095115,-81.1150447,ALLEGHANY COUNTY MEMORIAL HOSPITAL,617 DOCTORS STREET,SPARTA,NC,28675,ALLEGHANY,(336) 372-5511,Critical Access Hospitals,Voluntary non-profit - Private,true,2,,Not Available,5,Not Available,16,Below the national average,,Not Available,16,Not Available,5,Above the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-g6bs.ki8j-vwqu,363303,0,,POINT (-81.526789 41.078421),41.078421,-81.526789,AKRON CHILDREN'S HOSPITAL,1 PERKINS SQUARE,AKRON,OH,44308,SUMMIT,(330) 543-1000,Childrens,Voluntary non-profit - Private,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-ph4g-iebq.bzzs,371311,1,GEOMETRIC_CENTER,,34.1572807,-97.97954159999999,JEFFERSON COUNTY HOSPITAL,INTERSECTION HYWS 81 & 70,WAURIKA,OK,73573,JEFFERSON,(580) 228-2344,Critical Access Hospitals,Voluntary non-profit - Private,true,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Not Available,5,Not Available,16
https://data.medicare.gov/resource/xubh-q36u/row-ptc2_mz25~5eh6,400098,1,ROOFTOP,,18.3990299,-66.0387156,HOSPITAL SAN FRANCISCO,371 DE DIEGO AVE,SAN JUAN,PR,00923,SAN JUAN,(787) 767-5100,Acute Care Hospitals,Proprietary,true,Not Available,16,Not Available,5,Not Available,5,Not Available,5,Not Available,16,Not Available,5,Not Available,5,Not Available,16
https://data.medicare.gov/resource/xubh-q36u/row-9p9c~5ra9_8krv,50014F,0,,POINT (-122.680142 48.336875),48.336875,-122.680142,NH Oak Harbor,3475 North Saratoga Street,Oak Harbor,WA,98277,ISLAND,(360) 257-9500,Acute Care - Department of Defense,Department of Defense,false,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22
https://data.medicare.gov/resource/xubh-q36u/row-6i6q.992r.si5z,504012,1,ROOFTOP,,48.1385402,-122.1792075,SMOKEY POINT BEHAVIORAL HOSPITAL,3955 156TH ST NE,MARYSVILLE,WA,98271,SNOHOMISH,(212) 243-5565,Psychiatric,Proprietary,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-tb4c-cc68.vyas,210016,0,,POINT (-76.958232 39.052263),39.052263,-76.958232,ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,12100 PLUM ORCHARD DRIVE,SILVER SPRING,MD,20904,MONTGOMERY,(301) 891-5651,Acute Care Hospitals,Voluntary non-profit - Private,true,3,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-khay_hirb.gvkk,053309,0,,POINT (-118.185098 33.807107),33.807107,-118.185098,MEMORIAL CARE MILLER CHILDREN'S &  WOMEN'S HOSP LB,2801 ATLANTIC AVENUE,LONG BEACH,CA,90806,LOS ANGELES,(562) 933-8001,Childrens,Voluntary non-profit - Other,false,Not Available,5,Not Available,5,Not Available,5,Not Available,5,Not Available,5,Not Available,5,Not Available,5,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-qtf7.zzcz~qpg5,100099,0,,POINT (-81.564666 27.896533),27.896533,-81.564666,ADVENTHEALTH LAKE WALES,410 S 11TH ST,LAKE WALES,FL,33853,POLK,(863) 676-1433,Acute Care Hospitals,Proprietary,true,1,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-hxjd.ga7s.xmvj,010138,0,,POINT (-88.296081 32.491825),32.491825,-88.296081,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,SUMTER,(205) 392-5263,Acute Care Hospitals,Voluntary non-profit - Other,true,Not Available,16,Not Available,16,Not Available,5,Not Available,16,Not Available,16,Not Available,5,Same as the national average,,Not Available,16
https://data.medicare.gov/resource/xubh-q36u/row-j9gg.asb8~b9dn,213300,0,,POINT (-76.653551 39.362029),39.362029,-76.653551,MOUNT WASHINGTON PEDIATRIC HOSPITAL,1708 WEST ROGERS AVENUE,BALTIMORE,MD,21209,BALTIMORE CITY,(410) 578-5050,Childrens,Voluntary non-profit - Private,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-84pi-tnv7.ftrp,310002,0,,POINT (-74.213787 40.710054),40.710054,-74.213787,NEWARK BETH ISRAEL MEDICAL CENTER,201 LYONS AVE,NEWARK,NJ,07112,ESSEX,(973) 926-7850,Acute Care Hospitals,Voluntary non-profit - Private,true,3,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-vax2-3b3r_ksyr,140133,0,,POINT (-87.691909 41.770008),41.770008,-87.691909,HOLY CROSS HOSPITAL,2701 W 68TH STREET,CHICAGO,IL,60629,COOK,(773) 884-9000,Acute Care Hospitals,Voluntary non-profit - Private,true,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-m6yx_jbnt.5nnb,161327,0,,POINT (-92.414987 40.759223),40.759223,-92.414987,DAVIS COUNTY HOSPITAL,509 NORTH MADISON STREET,BLOOMFIELD,IA,52537,DAVIS,(641) 664-2145,Critical Access Hospitals,Government - Local,true,Not Available,16,Not Available,5,Not Available,5,Same as the national average,,Not Available,16,Not Available,16,Not Available,16,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-3ujz~xizp_kkc9,104072,0,,POINT (-81.469845 28.408552),28.408552,-81.469845,CENTRAL FLORIDA BEHAVIORAL HOSPITAL,6601 CENTRAL FLORIDA PARKWAY,ORLANDO,FL,32821,ORANGE,(407) 370-0111,Psychiatric,Proprietary,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-h3fb.ey2c_fvhr,271316,0,,POINT (-106.636379 48.189571),48.189571,-106.636379,FRANCES MAHON DEACONESS HOSPITAL,621 3RD ST S,GLASGOW,MT,59230,VALLEY,(406) 228-3500,Critical Access Hospitals,Voluntary non-profit - Private,true,4,,Same as the national average,,Not Available,5,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-a8uk.gq75_wykp,25039F,1,ROOFTOP,,30.4123007,-88.9109802,81st Medical Group (Keesler AFB),81 MDG 301 Fisher St. Suite 109,Biloxi,MS,39530,HARRISON,(228) 377-6393,Acute Care - Department of Defense,Department of Defense,true,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22
https://data.medicare.gov/resource/xubh-q36u/row-fdy5_3qnb-6xrr,381310,0,,POINT (-119.54763 45.356268),45.356268,-119.54763,PIONEER MEMORIAL HOSPITAL,564 E PIONEER DRIVE,HEPPNER,OR,97836,MORROW,(541) 676-9133,Critical Access Hospitals,Government - Hospital District or Authority,true,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Not Available,16,Not Available,16,Not Available,5,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-2jsk_ph6i-gvkj,420082,0,,POINT (-81.765071 33.56989),33.56989,-81.765071,AIKEN REGIONAL MEDICAL CENTER,302 UNIVERSITY PARKWAY,AIKEN,SC,29801,AIKEN,(803) 641-5900,Acute Care Hospitals,Proprietary,true,2,,Below the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-w6b2-irb2_tb5p,154035,0,,POINT (-86.361581 40.761945),40.761945,-86.361581,FOUR COUNTY COUNSELING CENTER,1015 MICHIGAN AVE,LOGANSPORT,IN,46947,CASS,(574) 722-5151,Psychiatric,Voluntary non-profit - Private,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-ngjg.xy9w~6uaw,150086,0,,POINT (-84.883951 39.112922),39.112922,-84.883951,HIGHPOINT HEALTH,600 WILSON CREEK RD,LAWRENCEBURG,IN,47025,DEARBORN,(812) 537-1010,Acute Care Hospitals,Government - Local,true,4,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-bd2d~ef8j_qggw,420106,1,ROOFTOP,,34.0872139,-81.1596497,PRISMA HEALTH BAPTIST PARKRIDGE,400 PALMETTO HEALTH PARKWAY,COLUMBIA,SC,29212,LEXINGTON,(803) 907-7011,Acute Care Hospitals,Voluntary non-profit - Private,true,5,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-jhqx~egjh~tdat,240063,0,,POINT (-93.100127 44.949062),44.949062,-93.100127,ST JOSEPH'S HOSPITAL,45 WEST 10TH STREET,SAINT PAUL,MN,55102,RAMSEY,(651) 232-3000,Acute Care Hospitals,Voluntary non-profit - Private,false,2,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-2s6x.scj2~v36x,074008,0,,POINT (-72.197319 41.740743),41.740743,-72.197319,NATCHAUG HOSPITAL,189 STORRS RD,MANSFIELD CENTER,CT,06250,TOLLAND,(860) 456-1311,Psychiatric,Voluntary non-profit - Private,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-ss8g~t6tr~5fdu,450684,0,,POINT (-95.275482 29.994565),29.994565,-95.275482,MEMORIAL HERMANN NORTHEAST HOSPITAL,18951 MEMORIAL NORTH,HUMBLE,TX,77338,HARRIS,(281) 540-7700,Acute Care Hospitals,Voluntary non-profit - Private,true,2,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,
https://data.medicare.gov/resource/xubh-q36u/row-juik.55wn.c6fd,450144,0,,POINT (-102.546866 32.337424),32.337424,-102.546866,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO,720 HOSPITAL DRIVE,ANDREWS,TX,79714,ANDREWS,(432) 523-2200,Acute Care Hospitals,Government - Hospital District or Authority,true,3,,Same as the national average,,Not Available,5,Same as the national average,,Not Available,16,Same as the national average,,Above the national average,,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-y3he~wx68-j8cb,390127,0,,POINT (-75.538053 40.133387),40.133387,-75.538053,PHOENIXVILLE HOSPITAL,140 NUTT ROAD,PHOENIXVILLE,PA,19460,CHESTER,(610) 983-1000,Acute Care Hospitals,Proprietary,true,2,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-n5fx-7yrz~ezx5,180029,0,,POINT (-83.227413 37.279027),37.279027,-83.227413,HAZARD ARH REGIONAL MEDICAL CENTER,100 MEDICAL CENTER DRIVE,HAZARD,KY,41701,PERRY,(606) 439-6600,Acute Care Hospitals,Voluntary non-profit - Private,true,1,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-2e44.299n~22z8,140167,0,,POINT (-87.732666 40.765541),40.765541,-87.732666,IROQUOIS MEMORIAL HOSPITAL,200 FAIRMAN STREET,WATSEKA,IL,60970,IROQUOIS,(815) 432-5201,Acute Care Hospitals,Voluntary non-profit - Private,true,2,,Same as the national average,,Not Available,5,Below the national average,,Not Available,16,Same as the national average,,Same as the national average,,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-ress-cfb5~zt7b,161380,0,,POINT (-93.262394 42.500939),42.500939,-93.262394,HANSEN FAMILY HOSPITAL,920 SOUTH OAK STREET,IOWA FALLS,IA,50126,HARDIN,(641) 648-4631,Critical Access Hospitals,Government - Local,true,Not Available,16,Not Available,5,Not Available,16,Above the national average,,Not Available,16,Not Available,16,Not Available,16,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-3cyq.ekmb_qnsq,194085,0,,POINT (-91.991048 30.155424),30.155424,-91.991048,COMPASS BEHAVIORAL CENTER OF LAFAYETTE,312 YOUNGSVILLE HIGHWAY,LAFAYETTE,LA,70508,LAFAYETTE,(337) 534-4655,Psychiatric,Proprietary,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-6esh~ksbq.jpve,390096,0,,POINT (-75.977661 40.376717),40.376717,-75.977661,ST JOSEPH MEDICAL CENTER,2500 BERNVILLE ROAD,READING,PA,19605,BERKS,(610) 378-2000,Acute Care Hospitals,Voluntary non-profit - Church,true,3,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,
https://data.medicare.gov/resource/xubh-q36u/row-7gt3_vkhk~hsp3,141324,0,,POINT (-88.441451 37.815332),37.815332,-88.441451,FERRELL HOSPITAL COMMUNITY FOUNDATIONS,1201 PINE STREET,ELDORADO,IL,62930,SALINE,(618) 273-3361,Critical Access Hospitals,Voluntary non-profit - Private,true,3,,Same as the national average,,Not Available,5,Below the national average,,Above the national average,,Not Available,16,Not Available,16,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-n6zm-373j_a9uq,051328,0,,POINT (-120.201344 39.325163),39.325163,-120.201344,TAHOE FOREST HOSPITAL,10121 PINE AVE,TRUCKEE,CA,96161,NEVADA,(530) 587-6011,Critical Access Hospitals,Government - Hospital District or Authority,true,4,,Same as the national average,,Not Available,5,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-qaiq-isb9.5jkp,381320,0,,POINT (-123.818502 46.188503),46.188503,-123.818502,COLUMBIA MEMORIAL HOSPITAL,2111 EXCHANGE STREET,ASTORIA,OR,97103,CLATSOP,(503) 325-4321,Critical Access Hospitals,Proprietary,true,3,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,Not Available,5,Above the national average,,Below the national average,
https://data.medicare.gov/resource/xubh-q36u/row-kkhj.8pxm.v25f,520027,0,,POINT (-87.92415 43.25618),43.25618,-87.92415,ASCENSION COLUMBIA ST MARY'S HOSPITAL OZAUKEE,13111 N PORT WASHINGTON RD,MEQUON,WI,53097,OZAUKEE,(414) 585-1374,Acute Care Hospitals,Voluntary non-profit - Church,true,4,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-qf32-zbi6~3xms,250102,0,,POINT (-90.178228 32.314278),32.314278,-90.178228,MISSISSIPPI BAPTIST MEDICAL CENTER,1225 N STATE ST,JACKSON,MS,39202,HINDS,(601) 968-1000,Acute Care Hospitals,Voluntary non-profit - Private,true,4,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-hh9m-t23y-dj6g,400016,1,GEOMETRIC_CENTER,,18.4229638,-66.0571476,AUXILIO MUTUO HOSPITAL,PONCE DE LEON AVENUE STOP 37 1/2,HATO REY,PR,00918,SAN JUAN,(787) 758-2000,Acute Care Hospitals,Voluntary non-profit - Private,true,1,17,Same as the national average,,Same as the national average,,Below the national average,,Not Available,16,Below the national average,,Not Available,5,Not Available,16
https://data.medicare.gov/resource/xubh-q36u/row-6ntj_9wa3~xe36,104024,0,,POINT (-80.616201 28.088846),28.088846,-80.616201,"CIRCLES OF CARE, INC",400 E SHERIDAN RD,MELBOURNE,FL,32901,BREVARD,(321) 984-4900,Psychiatric,Voluntary non-profit - Private,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-22sz~6zvg.fbpc,150017,0,,POINT (-85.245885 41.037374),41.037374,-85.245885,LUTHERAN HOSPITAL OF INDIANA,7950 W JEFFERSON BLVD,FORT WAYNE,IN,46804,ALLEN,(260) 435-7001,Acute Care Hospitals,Proprietary,true,2,,Below the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-wr7c_jjf9_hfgj,050124,0,,POINT (-118.216048 34.205614),34.205614,-118.216048,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,91209,LOS ANGELES,(818) 790-7100,Acute Care Hospitals,Voluntary non-profit - Private,true,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-4gv3_6ku8_c448,511308,0,,POINT (-80.748334 38.660126),38.660126,-80.748334,BRAXTON COUNTY MEMORIAL HOSPITAL,100 HOYLMAN DRIVE,GASSAWAY,WV,26624,BRAXTON,(304) 364-5156,Critical Access Hospitals,Voluntary non-profit - Private,true,Not Available,16,Not Available,5,Not Available,16,Same as the national average,,Not Available,16,Not Available,5,Same as the national average,,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-puyt~jfux-w58a,261306,0,,POINT (-93.131136 40.202174),40.202174,-93.131136,SULLIVAN COUNTY MEMORIAL HOSPITAL,630 WEST THIRD STREET,MILAN,MO,63556,SULLIVAN,(660) 265-4212,Critical Access Hospitals,Government - Local,true,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Above the national average,,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-uk94-fquw~zwsp,140242,0,,POINT (-88.158095 41.873765),41.873765,-88.158095,CENTRAL DUPAGE HOSPITAL,25 NORTH WINFIELD ROAD,WINFIELD,IL,60190,DU PAGE,(630) 682-1600,Acute Care Hospitals,Voluntary non-profit - Private,true,4,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,
https://data.medicare.gov/resource/xubh-q36u/row-52q7.nb24-hpyb,464001,0,,POINT (-111.635831 40.233569),40.233569,-111.635831,UTAH STATE HOSPITAL,1300 EAST CENTER STREET,PROVO,UT,84605,UTAH,(801) 344-4400,Psychiatric,Government - State,true,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-xncf.ukg7_66e2,030038,0,,POINT (-111.922725 33.487639),33.487639,-111.922725,SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251,MARICOPA,(480) 882-4004,Acute Care Hospitals,Proprietary,true,3,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Above the national average,
